epoch,accuracy,auc_6,auc_7,loss,lr,precision_3,recall_3,val_accuracy,val_auc_6,val_auc_7,val_loss,val_precision_3,val_recall_3
0,0.70885169506073,0.702549934387207,0.5601645112037659,1375.189697265625,0.01,0.6067796349525452,0.6705913543701172,0.41911765933036804,0.4977189600467682,0.3803737461566925,20611.642578125,0.38027477264404297,0.8297644257545471
1,0.7404650449752808,0.7368079423904419,0.5958664417266846,8720.78515625,0.01,0.6422280669212341,0.7213903665542603,0.6184640526771545,0.5,0.38153594732284546,57533.54296875,0.0,0.0
2,0.7245563864707947,0.719127357006073,0.5770019888877869,11680.9443359375,0.01,0.6242496967315674,0.6959314942359924,0.38235294818878174,0.4822556972503662,0.3725256025791168,221569.359375,0.3720724582672119,0.9024651646614075
3,0.7703446745872498,0.7669994235038757,0.6319857835769653,35614.83203125,0.01,0.6791405081748962,0.7529443502426147,0.5812908411026001,0.5741064548492432,0.4358101487159729,304935.40625,0.45799458026885986,0.5439913868904114
4,0.7983887195587158,0.7971019148826599,0.667451024055481,55022.89453125,0.01,0.71150141954422,0.7917001247406006,0.3986928164958954,0.5133678913116455,0.387553870677948,1536019.5,0.38756778836250305,0.9957127571105957
5,0.8241892457008362,0.8248925805091858,0.7013430595397949,45344.30859375,0.005,0.7409537434577942,0.8278447389602661,0.5232843160629272,0.5292084813117981,0.4005163908004761,414797.78125,0.4077287018299103,0.554126501083374
6,0.8257189393043518,0.8262478709220886,0.7037701606750488,45146.41796875,0.005,0.7435158491134644,0.8284720182418823,0.8316993713378906,0.7907108068466187,0.7690627574920654,103790.1875,0.914421558380127,0.6171122789382935
7,0.8357128500938416,0.8347374200820923,0.7187061905860901,45723.33203125,0.005,0.7599902153015137,0.8306537866592407,0.7071078419685364,0.7178493738174438,0.5586348176002502,218685.953125,0.589063823223114,0.7628755569458008
8,0.8286763429641724,0.8281885981559753,0.7083455920219421,63812.5234375,0.005,0.7494532465934753,0.8261451721191406,0.6225489974021912,0.6106417179107666,0.46970170736312866,257915.21875,0.5043394565582275,0.5605573654174805
9,0.8448908925056458,0.8438109159469604,0.7327520251274109,58420.58984375,0.005,0.7732873558998108,0.8392618298530579,0.7132353186607361,0.7427886724472046,0.5673233270645142,208844.796875,0.5832732319831848,0.867095410823822
10,0.8755863904953003,0.8753772974014282,0.778173565864563,36343.734375,0.0025,0.8131375908851624,0.8744982481002808,0.8255718946456909,0.7909692525863647,0.7423819899559021,136084.515625,0.8612303137779236,0.6459227204322815
11,0.8691617250442505,0.8695889711380005,0.7676752209663391,36305.75,0.0025,0.8025116920471191,0.8713904023170471,0.8827614188194275,0.8735165596008301,0.8024259805679321,53687.8125,0.8540065884590149,0.8347639441490173
12,0.867530107498169,0.8667306900024414,0.7660903930664062,38854.60546875,0.0025,0.803339958190918,0.8633806705474854,0.7871732115745544,0.7951263189315796,0.6497427225112915,182094.59375,0.6819383502006531,0.8286938071250916
13,0.8720171451568604,0.8720694780349731,0.7721601128578186,37353.48828125,0.0025,0.8072348833084106,0.8722891807556152,0.8031045794487,0.7691455483436584,0.7004336714744568,187997.75,0.8122392296791077,0.6272825002670288
14,0.875688374042511,0.8755111694335938,0.7782929539680481,32363.046875,0.0025,0.8131840825080872,0.8747658729553223,0.8741829991340637,0.8535704612731934,0.8071759939193726,71075.375,0.8870967626571655,0.7671673893928528
15,0.8965939283370972,0.8959020972251892,0.8125289082527161,24511.482421875,0.00125,0.8446356058120728,0.8929908871650696,0.8946078419685364,0.8923811912536621,0.8113001585006714,44990.9296875,0.846707820892334,0.8830472230911255
16,0.8890475034713745,0.8896352052688599,0.7982603907585144,23479.384765625,0.00125,0.8294747471809387,0.8921017646789551,0.8096405267715454,0.7871997952461243,0.6990399360656738,160132.828125,0.7820823192596436,0.6931330561637878
17,0.8828268647193909,0.8825759291648865,0.7897630929946899,24838.3515625,0.00125,0.8235881924629211,0.8815191388130188,0.8100489974021912,0.8058823347091675,0.6859891414642334,152609.796875,0.7340637445449829,0.7882353067398071
18,0.889557421207428,0.8895432353019714,0.800049364566803,22790.408203125,0.00125,0.8322483897209167,0.8894835710525513,0.8153594732284546,0.7930572032928467,0.7080579996109009,123424.5078125,0.791262149810791,0.6995708346366882
19,0.90199875831604,0.9025581479072571,0.8191819190979004,18332.07421875,0.000625,0.8478915691375732,0.9049022197723389,0.8231208920478821,0.8159851431846619,0.7064647078514099,122331.3984375,0.759048581123352,0.7858672142028809
